133;ICA;Kampanj 10-pack M/L;07318690106593
134;FINDUS;Cobettes, mini, supersweet;07310500118420
135;Konfekta;Godis patron special;07392257101320
136;Kiviks Musteri;Apelsindryck EKO;07314720730219
137;Bonjour;Grann Levain skivad;00731506751492
138;Bonjour;Vaniljkräm;07391288145006
139;Nyhléns Hugosons;STRIMLAT NÖTKÖTT;02303734000000
140;Bonjour;Pizzadeg;06416577007474
141;Barilla;Bucatini;08076800315097
142;Boxholms®;Kryddost 31% hel;02340391700003
143;Nyhléns Hugosons;ALSPÅNSRÖKT KARRE;02310522400003
144;Magnihill;Grytrotfrukter KRAV;07314060059667
145;CHUPA CHUPS;The Best of Lollipops;00000049814521
146;Cesarin S.p.A.;Bigarråer Gröna Hackade;08054405015079
147;Femtorp;Formspray;07393378444921
148;Gunnarshögs Gård;Grillolja från Österlen;07394482010781
149;Melkers;Köttkorv kokt;07314190002663
150;David Rio Chai;Chai Toucan Mango;00658564723981
151;Greater Omaha;Brisket bringa;98000360268190
152;Campari;BITTER;08000040001052
153;LAGERBLAD FOODS;Pannbiff 130 g;06405263080914
154;Central Formaggi;Pecorino Moliterno m tryffel;00029687212506
155;Martin & Servera;Akaciahonung;47321574786369
156;Femtorp;Blåbärs Mousse;04260081740578
157;LAGERBLAD FOODS;Falafelbiff 60 g;06405263040659
158;Ridderheims;Snacks Salami Salt & Pepper;07392555502201
159;Cocio;Pucko Original;05711953023620
160;NESCAFÉ;Dolce Gusto Latte Macchiato;05011546498386
161;Paradiso;Grillade HalkidikiOliver kärnfria;05707381008834
162;Texas Stängd;Coleslaw;07338036120304
163;Crebon;Hallonbiskvi;07340063356137
164;Kattegat;Fjällbackas Kräftgravade sill;07330416448930
165;Wästgöta Kloster®;Munkens Röda skivad ost;07311870009356
166;KLS Ugglarps;Kalvstek;97300300024420
167;Nordic Spice;Orientalisk marinad;08435161800664
168;EKORRENS EKOLOGISKA;Green is the new Black lakrits;07350043520410
169;BORGENS;Ostronskivling;07312450005416
170;Nordisk Råvara;Stor Gråärt KRAV;07350013350160
171;Danora;J&N Jerk Chicken Burrito;05038794000086
172;Nyhléns Hugosons;SKIVMIX KOKT;02310606800002
173;Snapple;Raspberry Peach;05000382101598
174;Cookin'5;Kycklingfilé kokt strimlad;05941645702421
175;FELDTS;Torskloin med skinn MSC;02381117600009
176;Minella;Quinoa svart;07340062802154
177;Debic;Parfait;05410488822219
178;DELICATO;Chokladruta Havssalt vegansk;07315361113287
179;VegMe;Vego Bourguignon;07330247610049
180;Helmut Walch;Sidfläsk rimmat skivat;02350410300008
181;NORDSTRÖMS;Nötfärs vac SE;02381578100001
182;Plivit;Ugnsgrillad Paprika;07350092766111
183;Orangina;Blodapelsin;08435185965837
184;Crebon;Lantbröd mörk;07340063343205
185;Westfleisch;Oxfilé 3/4 u. sträng;02352002800002
186;SANTA MARIA;Allroundkryd Class;07311311016417
187;Seriously Strong;Cheddar Vintage;02378290000009
188;FINDUS;Fisk Bordelaise, MSC, gastro;07310500056494
189;Arla Köket®;Yoghurtdessert hallon maräng;06413300024210
190;FELDTS;Kamtjatkakrabba rå upptinad;97392497912888
191;SallaCarte;Skalad potatis delikatess;07312730102095
192;NESTLÉ;PreNAN Discharge drickfärdig;07613034344656
193;Oatly;iMat Fraiche;07394376616174
194;Martin & Servera;Grillkrydda;07321575470344
195;Bonjour;Längdform;06437005064937
196;Martin & Servera;Baguette 30 cm;07321575356099
197;PÅGEN;Crèmefyllda Muffins (choklad) Fryst;17311070002901
198;SIGNAL & ANDERSSON;Helmuskelskinka kokt skivad;07350084072657
199;Lithells;PULLED BEEF, SOUS VIDE;02341713500004
200;Menigo Färskvaruhallen;Ängssyra;07301002402285
201;Kvibille®;Cheddar 6 mån hårdost;02340484800009
202;SKÅNEMEJERIER;Ekologisk Mellanmjölk 1,5%;07310867501750
203;Yalla®;Drickkvarg blåbär & svarta vinbär;05711953088797
204;Siam Food;Ananas skivad i sockerlag;08853731000960
205;Lycke;Toalettpapper;07332684247437
206;SEMPER;Mix med fiber, Glutenfri;07310100565563
207;JOZO;Havssalt Kvarn;08715800100646
208;Minella;Gröna Oliver Halkidiki;07340062800549
209;Fiskano;Piggvarfile 100/200;08717202062096
210;FIGARO;Cornichons i ättikslag;08410159303198
211;Lätta;Mini 28%;08719200043589
212;Oatly;Chocolate;07394376616761
213;Arla Köket®;Vispgrädde 36% BiB;07310865070814
214;Nordic Sugar;Demerara Rörsocker;17310340416578
215;ZOÉGAS;Skånerost Hela Bönor;07310731100997
216;Fazer;Rallarhalvor;07314871067004
217;Magnihill;Haricot verts;07314060078507
218;Da Vinci;Spiced Chai Syrup;05018010001554
219;Big Tom;Bloody Mary Mix;00000096079867
220;easybake;Semlor 2-pack;07350075539060
221;SKÅNEMEJERIER;Gouda Skivad;08716148004030
222;KRONÄGG;Spansk omelett;05709176097856
223;Chark Food Delikatesser;Kassler skivad;02380699000009
224;Castello®;Extra creamy brie vitmögelost;05711953070266
225;Texas Stängd;Texas Black Beans;07330836122021
226;Äljest;Ale;07350010040019
227;MARABOU;XL Cookies Mörk Choklad;07622210081940
228;Dafgårds;Fläskfärs SE FV;07310960021025
229;MARABOU;Skotte Dubbel;07310511253608
230;BOB;Lättsockr Jordgubbssylt refill;07310091244706
231;Nordisk Råvara;Grön lins Anicia KRAV;07350013350030
232;Fiskano;Laxkuber Sockeye 20x20x20mm;08719075083208
233;Port Salut;Port Salut Gäsene;02384790700004
234;Simón Coll;Mörk Choklad Simon Coll 70%;08413907875411
235;Falksalt;Finkornigt Salt med Jod;07311631500603
236;Migi;Lock till kaffebägare;07330671019180
237;Jo Food AB;Vänern Löjrom;07330714065600
238;tekompaniets utvalda;Assam lösvikt, Eko, Fairtrade;07350054813815
239;Formo;Aluminiumform rullk 1/2 Gastro 3,6L;07321573989589
240;DELICATO;Skumtopp mini utan tillsatt socker;07315361113300
241;Total Produce Nordic;Chèvresallad med pasta;07340007917509
242;Malmö Vinägerfabrik;Äppelcidervinäger;07350065750413
243;Bodén & Lindeberg;Mandel flisad;17392914012140
244;SCHÄR;Knäckebröd;08008698019153
245;EKSTRÖMS;Aprikoskräm uts;07310470071107
246;Lakritsfabriken i Ramlösa;Raw Liquorice;07350059553020
247;Lithells;SMÅLÄNDSK SYLTA;07312333001863
248;FANTASTY;HÖNS/KYCKLINGBULJONG PULVER;07392022100459
249;Falbygdens® Rekommenderar;Pecorino Romano opast hårdost;02022057600000
250;Formo;Lock bägare svart 30-50 cl;07321574838756
251;Martin & Servera;Majonnäs äkta 78 % KRAV;07321571787569
252;Johan & Nyström;BOURBON JUNGLE HB;07350045060839
253;Aviko;Country cooking Pure and rustic;08710449926572
254;Scotch-Briteâ„¢;Rengöringssvamp;05902658088414
255;DILMAH;Vanilj svart påste;09312631830385
256;Brakes;Lax varmrökt naturell hel sida;07301002411324
257;FELDTS;Rödtunga klippt och flådd;02381119300006
258;Galbani;Prosciutto Parma DOP Skivad 500g;08000430680232
259;GEVALIA;Professional Ebony Mörk/Maskin 90g;08711000536841
260;Fiskano;Stillahavstorskfile u skinn 200/400;08717202067411
261;Arla Ko® Ekologisk;Ärla ekologisk skivad ost;07311877017217
262;SANTA MARIA;Nejlika Malen;07311311014369
263;FELIX;Mexikansk Tacopaj;07310240079562
264;RYDBERGS;Kebabsås vit;07313160003037
265;Jasmin Meat Products;Jasmin Sverige Kebab Stock;02487942100001
266;KOCKENS;Kapris i lag hink;07310700834007
